COMPANY CODE,BISNIS AREA,AFD,LONGITUDE,LATITUDE,DATE,TIME,WX,TEMPERATURE,WIND SPEED,WIND DIRECTION
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,19/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,2:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,8:00 AM,berawan,24,7,TG
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,8:00 PM,hujan ringan,30,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,20/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,2:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,8:00 AM,berawan,24,8,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,11:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,5:00 PM,hujan sedang,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,8:00 PM,berawan,29,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,21/1/2024,11:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,2:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,5:00 AM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,8:00 AM,cerah berawan,24,8,TL
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,11:00 AM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,2:00 PM,cerah berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,5:00 PM,berawan,0,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,8:00 PM,berawan,32,0,0
SMO,T4U-SMO,T4U-SMO,117.3653,2.302222,22/1/2024,11:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,8:00 AM,berawan,25,8,TL
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,11:00 AM,hujan ringan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,2:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,5:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,8:00 PM,berawan,29,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,16/1/2024,11:00 PM,hujan sedang,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,2:00 AM,hujan ringan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,5:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,8:00 AM,berawan,24,10,U
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,11:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,2:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,5:00 PM,hujan ringan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,8:00 PM,berawan,29,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,17/1/2024,11:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,2:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,5:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,8:00 AM,berawan,23,10,TL
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,11:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,2:00 PM,cerah berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,5:00 PM,cerah berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,8:00 PM,cerah berawan,32,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,18/1/2024,11:00 PM,cerah berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,2:00 AM,cerah berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,5:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,8:00 AM,berawan,25,7,TL
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,11:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,2:00 PM,hujan ringan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,5:00 PM,hujan sedang,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,8:00 PM,berawan,29,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,19/1/2024,11:00 PM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,20/1/2024,2:00 AM,berawan,0,0,0
SMO,C2H-SMO,C2H-SMO,117.3844,2.268333,20/1/2024,5:00 AM,berawan,0,0,0
